Date,forecasted_solar_penetration,Hour,Day Ahead APX Price
2020-01-01 00:00:00,1.988635839748064,0,0.21154835390946503
2020-01-01 00:30:00,1.9321759136209788,0,0.21154835390946503
2020-01-01 01:00:00,2.0758697355971107,1,0.2055555555555555
2020-01-01 01:30:00,1.925495443997152,1,0.2055555555555555
2020-01-01 02:00:00,1.9038563108308804,2,0.17690329218106993
2020-01-01 02:30:00,1.7826269750874066,2,0.17690329218106993
2020-01-01 03:00:00,1.8478211562829816,3,0.16949588477366256
2020-01-01 03:30:00,1.921880484163776,3,0.16949588477366256
2020-01-01 04:00:00,2.037805482033338,4,0.16761831275720163
2020-01-01 04:30:00,1.9115809643095127,4,0.16761831275720163
2020-01-01 05:00:00,1.9168810806547216,5,0.16748971193415635
2020-01-01 05:30:00,1.928913065784859,5,0.16748971193415635
2020-01-01 06:00:00,1.9335256668124725,6,0.16728395061728396
2020-01-01 06:30:00,1.8789118466277133,6,0.16728395061728396
2020-01-01 07:00:00,1.6949734272203745,7,0.16903292181069957
2020-01-01 07:30:00,1.7450938026215914,7,0.16903292181069957
2020-01-01 08:00:00,1.781586761778486,8,0.17173353909465017
2020-01-01 08:30:00,1.7028711555287648,8,0.17173353909465017
2020-01-01 09:00:00,1.6600146080584677,9,0.18364197530864196
2020-01-01 09:30:00,1.6724591252134386,9,0.18364197530864196
2020-01-01 10:00:00,1.7549176584602668,10,0.19753086419753085
2020-01-01 10:30:00,1.7501245818647957,10,0.19753086419753085
2020-01-01 11:00:00,1.802367793977744,11,0.2143261316872428
2020-01-01 11:30:00,1.829768111715676,11,0.2143261316872428
2020-01-01 12:00:00,1.8224612812199008,12,0.20267489711934156
2020-01-01 12:30:00,1.8252742706163745,12,0.20267489711934156
2020-01-01 13:00:00,1.839689496583516,13,0.20267489711934156
2020-01-01 13:30:00,1.900142133576842,13,0.20267489711934156
2020-01-01 14:00:00,1.964047480901668,14,0.2018775720164609
2020-01-01 14:30:00,1.8494786456201997,14,0.2018775720164609
2020-01-01 15:00:00,1.9117051644624576,15,0.19495884773662547
2020-01-01 15:30:00,1.73695866299469,15,0.19495884773662547
2020-01-01 16:00:00,1.6564739048068693,16,0.22890946502057613
2020-01-01 16:30:00,1.569337263394114,16,0.22890946502057613
2020-01-01 17:00:00,1.513677104523145,17,0.2368827160493827
2020-01-01 17:30:00,1.5500659291618857,17,0.2368827160493827
2020-01-01 18:00:00,1.5613412833491926,18,0.21039094650205759
2020-01-01 18:30:00,1.6160612912036454,18,0.21039094650205759
2020-01-01 19:00:00,1.6332272703866428,19,0.20560699588477366
2020-01-01 19:30:00,1.6497694761130457,19,0.20560699588477366
2020-01-01 20:00:00,1.7085026260233709,20,0.1923868312757201
2020-01-01 20:30:00,1.844004047246144,20,0.1923868312757201
2020-01-01 21:00:00,1.878281801145341,21,0.1921810699588477
2020-01-01 21:30:00,1.972773660440282,21,0.1921810699588477
2020-01-01 22:00:00,2.0170240737779745,22,0.18209876543209874
2020-01-01 22:30:00,2.214320820960088,22,0.18209876543209874
2020-01-01 23:00:00,2.356865342706562,23,0.1787808641975308
2020-01-01 23:30:00,2.5028493127287272,23,0.1787808641975308
2020-01-02 00:00:00,2.6746041638885694,0,0.17114197530864195
2020-01-02 00:30:00,2.6498061291872133,0,0.17114197530864195
2020-01-02 01:00:00,2.547986425268964,1,0.16784979423868313
2020-01-02 01:30:00,2.704749741651185,1,0.16784979423868313
2020-01-02 02:00:00,2.584739054864472,2,0.16108539094650204
2020-01-02 02:30:00,2.6371655899468287,2,0.16108539094650204
2020-01-02 03:00:00,2.700936087325281,3,0.16013374485596704
2020-01-02 03:30:00,2.718418267281242,3,0.16013374485596704
2020-01-02 04:00:00,2.612214387867393,4,0.16057098765432093
2020-01-02 04:30:00,2.700678461595008,4,0.16057098765432093
2020-01-02 05:00:00,2.721261312748043,5,0.17201646090534978
2020-01-02 05:30:00,2.662609881328636,5,0.17201646090534978
2020-01-02 06:00:00,2.46720462512574,6,0.18937757201646088
2020-01-02 06:30:00,2.491482746275508,6,0.18937757201646088
2020-01-02 07:00:00,2.264944261458139,7,0.19470164609053492
2020-01-02 07:30:00,2.18510637843959,7,0.19470164609053492
2020-01-02 08:00:00,2.087331995951132,8,0.19588477366255141
2020-01-02 08:30:00,2.101234482000855,8,0.19588477366255141
2020-01-02 09:00:00,2.1254469645005827,9,0.1968106995884773
2020-01-02 09:30:00,2.2375055534752786,9,0.1968106995884773
2020-01-02 10:00:00,2.2681145613786304,10,0.20041152263374484
2020-01-02 10:30:00,2.399195781589507,10,0.20041152263374484
2020-01-02 11:00:00,2.360695744645989,11,0.20054012345679012
2020-01-02 11:30:00,2.3827936078695604,11,0.20054012345679012
2020-01-02 12:00:00,2.396744488889837,12,0.1999742798353909
2020-01-02 12:30:00,2.406166372661549,12,0.1999742798353909
2020-01-02 13:00:00,2.487244048221482,13,0.19809670781893002
2020-01-02 13:30:00,2.5093046064167392,13,0.19809670781893002
2020-01-02 14:00:00,2.529843257457641,14,0.19783950617283946
2020-01-02 14:30:00,2.55312047264346,14,0.19783950617283946
2020-01-02 15:00:00,2.428025845088236,15,0.19879115226337446
2020-01-02 15:30:00,2.3761748579385937,15,0.19879115226337446
2020-01-02 16:00:00,2.333370980669049,16,0.20326646090534978
2020-01-02 16:30:00,2.305276312541048,16,0.20326646090534978
2020-01-02 17:00:00,2.2492316589837857,17,0.21784979423868306
2020-01-02 17:30:00,2.267036625549234,17,0.21784979423868306
2020-01-02 18:00:00,2.3313308263353933,18,0.20267489711934156
2020-01-02 18:30:00,2.338296019905064,18,0.20267489711934156
2020-01-02 19:00:00,2.3879154557714046,19,0.19729938271604935
2020-01-02 19:30:00,2.5027799591865336,19,0.19729938271604935
2020-01-02 20:00:00,2.650058321772547,20,0.18209876543209874
2020-01-02 20:30:00,2.842600202030998,20,0.18209876543209874
2020-01-02 21:00:00,2.9959110229323778,21,0.17348251028806583
2020-01-02 21:30:00,3.218441055435197,21,0.17348251028806583
2020-01-02 22:00:00,3.358033243185857,22,0.1708847736625514
2020-01-02 22:30:00,3.5417398688831905,22,0.1708847736625514
2020-01-02 23:00:00,3.6654620549528407,23,0.16808127572016457
2020-01-02 23:30:00,3.905955474128172,23,0.16808127572016457
2020-01-03 00:00:00,3.6762687864926056,0,0.1653034979423868
2020-01-03 00:30:00,3.93069552129376,0,0.1653034979423868
2020-01-03 01:00:00,3.745810074810157,1,0.1616512345679012
2020-01-03 01:30:00,3.8871906845414985,1,0.1616512345679012
2020-01-03 02:00:00,3.564684403931926,2,0.1555298353909465
2020-01-03 02:30:00,3.505433516887891,2,0.1555298353909465
2020-01-03 03:00:00,3.468741004688479,3,0.1501543209876543
2020-01-03 03:30:00,3.5612412913390643,3,0.1501543209876543
2020-01-03 04:00:00,3.721591432887586,4,0.15820473251028805
2020-01-03 04:30:00,3.776769422743695,4,0.15820473251028805
2020-01-03 05:00:00,3.615199446418689,5,0.16947016460905345
2020-01-03 05:30:00,3.5454132862000094,5,0.16947016460905345
2020-01-03 06:00:00,3.081833040786404,6,0.19369855967078187
2020-01-03 06:30:00,2.878795893978956,6,0.19369855967078187
2020-01-03 07:00:00,2.6217166764702613,7,0.19092078189300404
2020-01-03 07:30:00,2.3660495596884563,7,0.19092078189300404
2020-01-03 08:00:00,2.1980900227484463,8,0.20267489711934156
2020-01-03 08:30:00,2.10497343023162,8,0.20267489711934156
2020-01-03 09:00:00,1.928012390114276,9,0.21039094650205759
2020-01-03 09:30:00,1.879752165818481,9,0.21039094650205759
2020-01-03 10:00:00,1.8483542837548332,10,0.21033950617283947
2020-01-03 10:30:00,1.877246650415088,10,0.21033950617283947
2020-01-03 11:00:00,1.9254839444788736,11,0.20074588477366256
2020-01-03 11:30:00,1.9342823518832235,11,0.20074588477366256
2020-01-03 12:00:00,1.9559020999719725,12,0.18904320987654322
2020-01-03 12:30:00,2.0706543322367423,12,0.18904320987654322
2020-01-03 13:00:00,1.984444445549904,13,0.1875771604938271
2020-01-03 13:30:00,2.061195365987844,13,0.1875771604938271
2020-01-03 14:00:00,2.103883529137412,14,0.18611111111111106
2020-01-03 14:30:00,1.97581053752448,14,0.18611111111111106
2020-01-03 15:00:00,1.9420610525926567,15,0.1872685185185185
2020-01-03 15:30:00,1.7632619505685998,15,0.1872685185185185
2020-01-03 16:00:00,1.5688064453888872,16,0.20648148148148143
2020-01-03 16:30:00,1.41087459436014,16,0.20648148148148143
2020-01-03 17:00:00,1.3149842071314004,17,0.2209619341563786
2020-01-03 17:30:00,1.2286342771839411,17,0.2209619341563786
2020-01-03 18:00:00,1.2203285984345569,18,0.2026491769547325
2020-01-03 18:30:00,1.1940415118040664,18,0.2026491769547325
2020-01-03 19:00:00,1.1952146272570958,19,0.19979423868312757
2020-01-03 19:30:00,1.2393260515294002,19,0.19979423868312757
2020-01-03 20:00:00,1.2681055359155275,20,0.19079218106995882
2020-01-03 20:30:00,1.2765304176232446,20,0.19079218106995882
2020-01-03 21:00:00,1.3864415229277702,21,0.18719135802469133
2020-01-03 21:30:00,1.3973479940192983,21,0.18719135802469133
2020-01-03 22:00:00,1.4289068178359403,22,0.1842849794238683
2020-01-03 22:30:00,1.5138146187203332,22,0.1842849794238683
2020-01-03 23:00:00,1.4949035142049922,23,0.1743569958847736
2020-01-03 23:30:00,1.7519741724314284,23,0.1743569958847736
2020-01-04 00:00:00,1.9572683194204217,0,0.16844135802469135
2020-01-04 00:30:00,1.5269693484442852,0,0.16844135802469135
2020-01-04 01:00:00,1.1602789483873757,1,0.1643518518518518
2020-01-04 01:30:00,1.4140627330034143,1,0.1643518518518518
2020-01-04 02:00:00,1.6991533196426944,2,0.1609310699588477
2020-01-04 02:30:00,1.725626437588098,2,0.1609310699588477
2020-01-04 03:00:00,1.7490435407212124,3,0.1560185185185185
2020-01-04 03:30:00,1.863527049574179,3,0.1560185185185185
